NMEA Sentence Code,UTC Time,Status,Latitude,Latitude Direction,Longitude,Longitude Direction,Speed (knots),Track Angle (degrees true),Date,MagneticVariation,Magnetic Variation Direction,[FAA Mode]-Optional,Checksum
$GPRMC,184620.0,A,3331.298299,N,11741.642114,W,46.8,224.3,280410,,,A*42
$GPRMC,184623.0,A,3331.271677,N,11741.675447,W,45.5,229.3,280410,,,A*46
$GPRMC,184626.0,A,3331.249469,N,11741.711189,W,44.2,237.3,280410,,,A*48
$GPRMC,184629.0,A,3331.232498,N,11741.748993,W,43.2,243.5,280410,,,A*48
$GPRMC,184632.0,A,3331.218635,N,11741.788296,W,42.5,250.3,280410,,,A*4F
$GPRMC,184635.0,A,3331.209054,N,11741.829826,W,41.9,257.2,280410,,,A*45
$GPRMC,184638.0,A,3331.202514,N,11741.873746,W,41.5,260.7,280410,,,A*49
$GPRMC,184641.0,A,3331.196670,N,11741.916292,W,41.5,260.2,280410,,,A*43
$GPRMC,184644.0,A,3331.191191,N,11741.957506,W,39.6,261.0,280410,,,A*49
$GPRMC,184647.0,A,3331.186758,N,11741.991830,W,28.7,259.3,280410,,,A*44
$GPRMC,184650.0,A,3331.184454,N,11742.013632,W,16.5,260.0,280410,,,A*45
$GPRMC,184653.0,A,3331.183421,N,11742.023881,W,5.4,261.2,280410,,,A*76
$GPRMC,184702.0,A,3331.182991,N,11742.034689,W,12.5,261.1,280410,,,A*40
$GPRMC,184705.0,A,3331.180640,N,11742.054483,W,25.2,261.3,280410,,,A*49
$GPRMC,184708.0,A,3331.176981,N,11742.084286,W,32.7,260.8,280410,,,A*48
$GPRMC,184711.0,A,3331.172736,N,11742.117765,W,33.6,260.5,280410,,,A*48
$GPRMC,184714.0,A,3331.168421,N,11742.150857,W,31.7,260.0,280410,,,A*48
$GPRMC,184717.0,A,3331.163611,N,11742.182686,W,32.5,257.9,280410,,,A*40
$GPRMC,184720.0,A,3331.157805,N,11742.215778,W,33.6,257.4,280410,,,A*4A
$GPRMC,184723.0,A,3331.151684,N,11742.247854,W,31.0,255.8,280410,,,A*44
$GPRMC,184726.0,A,3331.146278,N,11742.273683,W,22.0,254.7,280410,,,A*4F
$GPRMC,184729.0,A,3331.143230,N,11742.289917,W,11.8,259.8,280410,,,A*44
$GPRMC,184732.0,A,3331.144095,N,11742.297828,W,9.4,297.3,280410,,,A*7A
$GPRMC,184735.0,A,3331.154745,N,11742.306695,W,21.2,333.0,280410,,,A*47
$GPRMC,184738.0,A,3331.173871,N,11742.318196,W,29.0,330.3,280410,,,A*46
$GPRMC,184741.0,A,3331.197907,N,11742.336930,W,37.3,325.2,280410,,,A*43
$GPRMC,184744.0,A,3331.224552,N,11742.359450,W,39.9,324.6,280410,,,A*42
$GPRMC,184747.0,A,3331.253168,N,11742.383329,W,42.3,325.2,280410,,,A*41
$GPRMC,184750.0,A,3331.283003,N,11742.408042,W,43.3,325.6,280410,,,A*49
$GPRMC,184753.0,A,3331.312743,N,11742.431558,W,41.7,328.3,280410,,,A*4A
$GPRMC,184756.0,A,3331.342412,N,11742.451951,W,40.1,331.4,280410,,,A*46
$GPRMC,184759.0,A,3331.372250,N,11742.470775,W,39.5,332.0,280410,,,A*4C
$GPRMC,184802.0,A,3331.401354,N,11742.489082,W,38.6,332.6,280410,,,A*46
$GPRMC,184805.0,A,3331.430138,N,11742.506799,W,38.1,332.1,280410,,,A*40
$GPRMC,184808.0,A,3331.458241,N,11742.524819,W,37.8,327.9,280410,,,A*43
$GPRMC,184811.0,A,3331.484616,N,11742.547425,W,38.6,319.0,280410,,,A*4F
$GPRMC,184814.0,A,3331.508233,N,11742.576237,W,41.4,309.4,280410,,,A*42
$GPRMC,184817.0,A,3331.526886,N,11742.609736,W,37.8,300.8,280410,,,A*4E
$GPRMC,184820.0,A,3331.543517,N,11742.637336,W,30.2,309.3,280410,,,A*4A
$GPRMC,184823.0,A,3331.556425,N,11742.655843,W,19.3,305.5,280410,,,A*40
$GPRMC,184826.0,A,3331.563652,N,11742.665192,W,8.2,318.7,280410,,,A*78
