NMEA Sentence Code,UTC Time,Status,Latitude,Latitude Direction,Longitude,Longitude Direction,Speed (knots),Track Angle (degrees true),Date,MagneticVariation,Magnetic Variation Direction,[FAA Mode]-Optional,Checksum
$GPRMC,175546.1,A,3344.1528,N,11725.3726,W,59.80,303.80,190610,,*29
$GPRMC,175550.1,A,3344.1913,N,11725.4382,W,60.30,304.90,190610,,*20
$GPRMC,175554.1,A,3344.2336,N,11725.5008,W,60.40,307.10,190610,,*26
$GPRMC,175558.1,A,3344.2760,N,11725.5657,W,61.20,307.10,190610,,*26
$GPRMC,175602.1,A,3344.3210,N,11725.6297,W,60.70,308.20,190610,,*2A
$GPRMC,175606.1,A,3344.3620,N,11725.6930,W,60.60,307.90,190610,,*2A
$GPRMC,175610.1,A,3344.4019,N,11725.7566,W,59.30,305.40,190610,,*28
$GPRMC,175614.1,A,3344.4395,N,11725.8221,W,59.70,301.10,190610,,*25
$GPRMC,175618.1,A,3344.4696,N,11725.8930,W,59.70,296.80,190610,,*22
$GPRMC,175622.1,A,3344.4969,N,11725.9649,W,59.50,293.60,190610,,*2D
$GPRMC,175626.1,A,3344.5174,N,11726.0410,W,61.00,288.10,190610,,*2B
$GPRMC,175630.1,A,3344.5313,N,11726.1222,W,62.10,282.50,190610,,*25
$GPRMC,175634.1,A,3344.5427,N,11726.2010,W,61.10,280.30,190610,,*26
$GPRMC,175638.1,A,3344.5564,N,11726.2834,W,62.10,281.40,190610,,*27
$GPRMC,175642.1,A,3344.5730,N,11726.3641,W,62.20,284.20,190610,,*24
$GPRMC,175646.1,A,3344.5963,N,11726.4411,W,61.80,289.70,190610,,*29
$GPRMC,175650.1,A,3344.6260,N,11726.5169,W,62.20,295.50,190610,,*28
$GPRMC,175654.1,A,3344.6592,N,11726.5893,W,62.20,298.10,190610,,*23
$GPRMC,175658.1,A,3344.6911,N,11726.6643,W,62.30,298.60,190610,,*2E
$GPRMC,175702.1,A,3344.7216,N,11726.7344,W,61.40,298.40,190610,,*28
$GPRMC,175706.1,A,3344.7552,N,11726.8084,W,62.00,298.30,190610,,*2B
$GPRMC,175710.1,A,3344.7898,N,11726.8796,W,62.20,298.50,190610,,*27
$GPRMC,175714.1,A,3344.8228,N,11726.9516,W,61.80,298.50,190610,,*2F
$GPRMC,175718.1,A,3344.8569,N,11727.0240,W,62.30,299.80,190610,,*29
$GPRMC,175722.1,A,3344.8940,N,11727.0941,W,61.70,302.70,190610,,*26
$GPRMC,175726.1,A,3344.9417,N,11727.1558,W,62.20,311.30,190610,,*29
$GPRMC,175730.1,A,3344.9910,N,11727.2121,W,61.40,317.70,190610,,*2A
$GPRMC,175734.1,A,3345.0454,N,11727.2636,W,62.20,323.90,190610,,*26
$GPRMC,175738.1,A,3345.1032,N,11727.3057,W,61.60,327.80,190610,,*2D
